latitude,longitude,elevation_m
38.4098108,-110.7900000,1375.00
38.4098108,-110.7899885,1375.00
38.4098108,-110.7899770,1375.00
38.4098108,-110.7899655,1375.00
38.4098108,-110.7899540,1375.00
38.4098108,-110.7899425,1375.00
38.4098108,-110.7899310,1375.00
38.4098108,-110.7899195,1375.00
38.4098108,-110.7899080,1375.00
38.4098108,-110.7898965,1375.00
38.4098108,-110.7898850,1375.00
38.4098108,-110.7898735,1375.00
38.4098108,-110.7898620,1375.00
38.4098108,-110.7898505,1375.00
38.4098108,-110.7898390,1375.00
38.4098108,-110.7898275,1375.00
38.4098108,-110.7898160,1375.00
38.4098108,-110.7898045,1375.00
38.4098108,-110.7897931,1375.00
38.4098108,-110.7897816,1375.00
38.4098108,-110.7897701,1375.00
38.4098108,-110.7897586,1375.00
38.4098108,-110.7897471,1375.00
38.4098108,-110.7897356,1375.00
38.4098108,-110.7897241,1375.00
38.4098198,-110.7902874,1377.00
38.4098198,-110.7902759,1377.00
38.4098198,-110.7902644,1377.00
38.4098198,-110.7902529,1377.00
38.4098198,-110.7902414,1377.00
38.4098198,-110.7902299,1377.00
38.4098198,-110.7902184,1377.00
38.4098198,-110.7902069,1377.00
38.4098198,-110.7901955,1377.00
38.4098198,-110.7901840,1377.00
38.4098198,-110.7901725,1377.00
38.4098198,-110.7901610,1377.00
38.4098198,-110.7901495,1377.00
38.4098198,-110.7901380,1377.00
38.4098198,-110.7901265,1377.00
38.4098198,-110.7901150,1377.00
38.4098198,-110.7901035,1377.00
38.4098198,-110.7900920,1377.00
38.4098198,-110.7900805,1377.00
38.4098198,-110.7900690,1377.00
38.4098198,-110.7900575,1377.00
38.4098198,-110.7900460,1377.00
38.4098198,-110.7900345,1377.00
38.4098198,-110.7900230,1377.00
38.4098198,-110.7900115,1377.00
38.4098198,-110.7900000,1375.00
38.4098198,-110.7899885,1375.00
38.4098198,-110.7899770,1375.00
38.4098198,-110.7899655,1375.00
38.4098198,-110.7899540,1375.00
38.4098198,-110.7899425,1375.00
38.4098198,-110.7899310,1375.00
38.4098198,-110.7899195,1375.00
38.4098198,-110.7899080,1375.00
38.4098198,-110.7898965,1375.00
38.4098198,-110.7898850,1375.00
38.4098198,-110.7898735,1375.00
38.4098198,-110.7898620,1375.00
38.4098198,-110.7898505,1375.00
38.4098198,-110.7898390,1375.00
38.4098198,-110.7898275,1375.00
38.4098198,-110.7898160,1375.00
38.4098198,-110.7898045,1375.00
38.4098198,-110.7897931,1375.00
38.4098198,-110.7897816,1375.00
38.4098198,-110.7897701,1375.00
38.4098198,-110.7897586,1375.00
38.4098198,-110.7897471,1375.00
38.4098198,-110.7897356,1375.00
38.4098198,-110.7897241,1375.00
38.4098288,-110.7902874,1377.00
38.4098288,-110.7902759,1377.00
38.4098288,-110.7902644,1377.00
38.4098288,-110.7902529,1377.00
38.4098288,-110.7902414,1377.00
38.4098288,-110.7902299,1377.00
38.4098288,-110.7902184,1377.00
38.4098288,-110.7902069,1377.00
38.4098288,-110.7901955,1377.00
38.4098288,-110.7901840,1377.00
38.4098288,-110.7901725,1377.00
38.4098288,-110.7901610,1377.00
38.4098288,-110.7901495,1377.00
38.4098288,-110.7901380,1377.00
38.4098288,-110.7901265,1377.00
38.4098288,-110.7901150,1377.00
38.4098288,-110.7901035,1377.00
38.4098288,-110.7900920,1377.00
38.4098288,-110.7900805,1377.00
38.4098288,-110.7900690,1377.00
38.4098288,-110.7900575,1377.00
38.4098288,-110.7900460,1377.00
38.4098288,-110.7900345,1377.00
38.4098288,-110.7900230,1377.00
38.4098288,-110.7900115,1377.00
38.4098288,-110.7900000,1375.00
38.4098288,-110.7899885,1375.00
38.4098288,-110.7899770,1375.00
38.4098288,-110.7899655,1375.00
38.4098288,-110.7899540,1375.00
38.4098288,-110.7899425,1375.00
38.4098288,-110.7899310,1375.00
38.4098288,-110.7899195,1375.00
38.4098288,-110.7899080,1375.00
38.4098288,-110.7898965,1375.00
38.4098288,-110.7898850,1375.00
38.4098288,-110.7898735,1375.00
38.4098288,-110.7898620,1375.00
38.4098288,-110.7898505,1375.00
38.4098288,-110.7898390,1375.00
38.4098288,-110.7898275,1375.00
38.4098288,-110.7898160,1375.00
38.4098288,-110.7898045,1375.00
38.4098288,-110.7897931,1375.00
38.4098288,-110.7897816,1375.00
38.4098288,-110.7897701,1375.00
38.4098288,-110.7897586,1375.00
38.4098288,-110.7897471,1375.00
38.4098288,-110.7897356,1375.00
38.4098288,-110.7897241,1375.00
38.4098378,-110.7902874,1377.00
38.4098378,-110.7902759,1377.00
38.4098378,-110.7902644,1377.00
38.4098378,-110.7902529,1377.00
38.4098378,-110.7902414,1377.00
38.4098378,-110.7902299,1377.00
38.4098378,-110.7902184,1377.00
38.4098378,-110.7902069,1377.00
38.4098378,-110.7901955,1377.00
38.4098378,-110.7901840,1377.00
38.4098378,-110.7901725,1377.00
38.4098378,-110.7901610,1377.00
38.4098378,-110.7901495,1377.00
38.4098378,-110.7901380,1377.00
38.4098378,-110.7901265,1377.00
38.4098378,-110.7901150,1377.00
38.4098378,-110.7901035,1377.00
38.4098378,-110.7900920,1377.00
38.4098378,-110.7900805,1377.00
38.4098378,-110.7900690,1377.00
38.4098378,-110.7900575,1377.00
38.4098378,-110.7900460,1377.00
38.4098378,-110.7900345,1377.00
38.4098378,-110.7900230,1377.00
38.4098378,-110.7900115,1377.00
38.4098378,-110.7900000,1375.00
38.4098378,-110.7899885,1375.00
38.4098378,-110.7899770,1375.00
38.4098378,-110.7899655,1375.00
38.4098378,-110.7899540,1375.00
38.4098378,-110.7899425,1375.00
38.4098378,-110.7899310,1375.00
38.4098378,-110.7899195,1375.00
38.4098378,-110.7899080,1375.00
38.4098378,-110.7898965,1375.00
38.4098378,-110.7898850,1375.00
38.4098378,-110.7898735,1375.00
38.4098378,-110.7898620,1375.00
38.4098378,-110.7898505,1375.00
38.4098378,-110.7898390,1375.00
38.4098378,-110.7898275,1375.00
38.4098378,-110.7898160,1375.00
38.4098378,-110.7898045,1375.00
38.4098378,-110.7897931,1375.00
38.4098378,-110.7897816,1375.00
38.4098378,-110.7897701,1375.00
38.4098378,-110.7897586,1375.00
38.4098378,-110.7897471,1375.00
38.4098378,-110.7897356,1375.00
38.4098378,-110.7897241,1375.00
38.4098468,-110.7902874,1377.00
38.4098468,-110.7902759,1377.00
38.4098468,-110.7902644,1377.00
38.4098468,-110.7902529,1377.00
38.4098468,-110.7902414,1377.00
38.4098468,-110.7902299,1377.00
38.4098468,-110.7902184,1377.00
38.4098468,-110.7902069,1377.00
38.4098468,-110.7901955,1377.00
38.4098468,-110.7901840,1377.00
38.4098468,-110.7901725,1377.00
38.4098468,-110.7901610,1377.00
38.4098468,-110.7901495,1377.00
38.4098468,-110.7901380,1377.00
38.4098468,-110.7901265,1377.00
38.4098468,-110.7901150,1377.00
38.4098468,-110.7901035,1377.00
38.4098468,-110.7900920,1377.00
38.4098468,-110.7900805,1377.00
38.4098468,-110.7900690,1377.00
38.4098468,-110.7900575,1377.00
38.4098468,-110.7900460,1377.00
38.4098468,-110.7900345,1377.00
38.4098468,-110.7900230,1377.00
38.4098468,-110.7900115,1377.00
38.4098468,-110.7900000,1375.00
38.4098468,-110.7899885,1375.00
38.4098468,-110.7899770,1375.00
38.4098468,-110.7899655,1375.00
38.4098468,-110.7899540,1375.00
38.4098468,-110.7899425,1375.00
38.4098468,-110.7899310,1375.00
38.4098468,-110.7899195,1375.00
38.4098468,-110.7899080,1375.00
38.4098468,-110.7898965,1375.00
38.4098468,-110.7898850,1375.00
38.4098468,-110.7898735,1375.00
38.4098468,-110.7898620,1375.00
38.4098468,-110.7898505,1375.00
38.4098468,-110.7898390,1375.00
38.4098468,-110.7898275,1375.00
38.4098468,-110.7898160,1375.00
38.4098468,-110.7898045,1375.00
38.4098468,-110.7897931,1375.00
38.4098468,-110.7897816,1375.00
38.4098468,-110.7897701,1375.00
38.4098468,-110.7897586,1375.00
38.4098468,-110.7897471,1375.00
38.4098468,-110.7897356,1375.00
38.4098468,-110.7897241,1375.00
38.4098559,-110.7902874,1377.00
38.4098559,-110.7902759,1377.00
38.4098559,-110.7902644,1377.00
38.4098559,-110.7902529,1377.00
38.4098559,-110.7902414,1377.00
38.4098559,-110.7902299,1377.00
38.4098559,-110.7902184,1377.00
38.4098559,-110.7902069,1377.00
38.4098559,-110.7901955,1377.00
38.4098559,-110.7901840,1377.00
38.4098559,-110.7901725,1377.00
38.4098559,-110.7901610,1377.00
38.4098559,-110.7901495,1377.00
38.4098559,-110.7901380,1377.00
38.4098559,-110.7901265,1377.00
38.4098559,-110.7901150,1377.00
38.4098559,-110.7901035,1377.00
38.4098559,-110.7900920,1377.00
38.4098559,-110.7900805,1377.00
38.4098559,-110.7900690,1377.00
38.4098559,-110.7900575,1377.00
38.4098559,-110.7900460,1377.00
38.4098559,-110.7900345,1377.00
38.4098559,-110.7900230,1377.00
38.4098559,-110.7900115,1377.00
38.4098559,-110.7900000,1375.00
38.4098559,-110.7899885,1375.00
38.4098559,-110.7899770,1375.00
38.4098559,-110.7899655,1375.00
38.4098559,-110.7899540,1375.00
38.4098559,-110.7899425,1375.00
38.4098559,-110.7899310,1375.00
38.4098559,-110.7899195,1375.00
38.4098559,-110.7899080,1375.00
38.4098559,-110.7898965,1375.00
38.4098559,-110.7898850,1375.00
38.4098559,-110.7898735,1375.00
38.4098559,-110.7898620,1375.00
38.4098559,-110.7898505,1375.00
38.4098559,-110.7898390,1375.00
38.4098559,-110.7898275,1375.00
38.4098559,-110.7898160,1375.00
38.4098559,-110.7898045,1375.00
38.4098559,-110.7897931,1375.00
38.4098559,-110.7897816,1375.00
38.4098559,-110.7897701,1375.00
38.4098559,-110.7897586,1375.00
38.4098559,-110.7897471,1375.00
38.4098559,-110.7897356,1375.00
38.4098559,-110.7897241,1375.00
38.4098649,-110.7902874,1377.00
38.4098649,-110.7902759,1377.00
38.4098649,-110.7902644,1377.00
38.4098649,-110.7902529,1377.00
38.4098649,-110.7902414,1377.00
38.4098649,-110.7902299,1377.00
38.4098649,-110.7902184,1377.00
38.4098649,-110.7902069,1377.00
38.4098649,-110.7901955,1377.00
38.4098649,-110.7901840,1377.00
38.4098649,-110.7901725,1377.00
38.4098649,-110.7901610,1377.00
38.4098649,-110.7901495,1377.00
38.4098649,-110.7901380,1377.00
38.4098649,-110.7901265,1377.00
38.4098649,-110.7901150,1377.00
38.4098649,-110.7901035,1377.00
38.4098649,-110.7900920,1377.00
38.4098649,-110.7900805,1377.00
38.4098649,-110.7900690,1377.00
38.4098649,-110.7900575,1377.00
38.4098649,-110.7900460,1377.00
38.4098649,-110.7900345,1377.00
38.4098649,-110.7900230,1377.00
38.4098649,-110.7900115,1377.00
38.4098649,-110.7900000,1375.00
38.4098649,-110.7899885,1375.00
38.4098649,-110.7899770,1375.00
38.4098649,-110.7899655,1375.00
38.4098649,-110.7899540,1375.00
38.4098649,-110.7899425,1375.00
38.4098649,-110.7899310,1375.00
38.4098649,-110.7899195,1375.00
38.4098649,-110.7899080,1375.00
38.4098649,-110.7898965,1375.00
38.4098649,-110.7898850,1375.00
38.4098649,-110.7898735,1375.00
38.4098649,-110.7898620,1375.00
38.4098649,-110.7898505,1375.00
38.4098649,-110.7898390,1375.00
38.4098649,-110.7898275,1375.00
38.4098649,-110.7898160,1375.00
38.4098649,-110.7898045,1375.00
38.4098649,-110.7897931,1375.00
38.4098649,-110.7897816,1375.00
38.4098649,-110.7897701,1375.00
38.4098649,-110.7897586,1375.00
38.4098649,-110.7897471,1375.00
38.4098649,-110.7897356,1375.00
38.4098649,-110.7897241,1375.00
38.4098739,-110.7902874,1377.00
38.4098739,-110.7902759,1377.00
38.4098739,-110.7902644,1377.00
38.4098739,-110.7902529,1377.00
38.4098739,-110.7902414,1377.00
38.4098739,-110.7902299,1377.00
38.4098739,-110.7902184,1377.00
38.4098739,-110.7902069,1377.00
38.4098739,-110.7901955,1377.00
38.4098739,-110.7901840,1377.00
38.4098739,-110.7901725,1377.00
38.4098739,-110.7901610,1377.00
38.4098739,-110.7901495,1377.00
38.4098739,-110.7901380,1377.00
38.4098739,-110.7901265,1377.00
38.4098739,-110.7901150,1377.00
38.4098739,-110.7901035,1377.00
38.4098739,-110.7900920,1377.00
38.4098739,-110.7900805,1377.00
38.4098739,-110.7900690,1377.00
38.4098739,-110.7900575,1377.00
38.4098739,-110.7900460,1377.00
38.4098739,-110.7900345,1377.00
38.4098739,-110.7900230,1377.00
38.4098739,-110.7900115,1377.00
38.4098739,-110.7900000,1375.00
38.4098739,-110.7899885,1375.00
38.4098739,-110.7899770,1375.00
38.4098739,-110.7899655,1375.00
38.4098739,-110.7899540,1375.00
38.4098739,-110.7899425,1375.00
38.4098739,-110.7899310,1375.00
38.4098739,-110.7899195,1375.00
38.4098739,-110.7899080,1375.00
38.4098739,-110.7898965,1375.00
38.4098739,-110.7898850,1375.00
38.4098739,-110.7898735,1375.00
38.4098739,-110.7898620,1375.00
38.4098739,-110.7898505,1375.00
38.4098739,-110.7898390,1375.00
38.4098739,-110.7898275,1375.00
38.4098739,-110.7898160,1375.00
38.4098739,-110.7898045,1375.00
38.4098739,-110.7897931,1375.00
38.4098739,-110.7897816,1375.00
38.4098739,-110.7897701,1375.00
38.4098739,-110.7897586,1375.00
38.4098739,-110.7897471,1375.00
38.4098739,-110.7897356,1375.00
38.4098739,-110.7897241,1375.00
38.4098829,-110.7902874,1377.00
38.4098829,-110.7902759,1377.00
38.4098829,-110.7902644,1377.00
38.4098829,-110.7902529,1377.00
38.4098829,-110.7902414,1377.00
38.4098829,-110.7902299,1377.00
38.4098829,-110.7902184,1377.00
38.4098829,-110.7902069,1377.00
38.4098829,-110.7901955,1377.00
38.4098829,-110.7901840,1377.00
38.4098829,-110.7901725,1377.00
38.4098829,-110.7901610,1377.00
38.4098829,-110.7901495,1377.00
38.4098829,-110.7901380,1377.00
38.4098829,-110.7901265,1377.00
38.4098829,-110.7901150,1377.00
38.4098829,-110.7901035,1377.00
38.4098829,-110.7900920,1377.00
38.4098829,-110.7900805,1377.00
38.4098829,-110.7900690,1377.00
38.4098829,-110.7900575,1377.00
38.4098829,-110.7900460,1377.00
38.4098829,-110.7900345,1377.00
38.4098829,-110.7900230,1377.00
38.4098829,-110.7900115,1377.00
38.4098829,-110.7900000,1375.00
38.4098829,-110.7899885,1375.00
38.4098829,-110.7899770,1375.00
38.4098829,-110.7899655,1375.00
38.4098829,-110.7899540,1375.00
38.4098829,-110.7899425,1375.00
38.4098829,-110.7899310,1375.00
38.4098829,-110.7899195,1375.00
38.4098829,-110.7899080,1375.00
38.4098829,-110.7898965,1375.00
38.4098829,-110.7898850,1375.00
38.4098829,-110.7898735,1375.00
38.4098829,-110.7898620,1375.00
38.4098829,-110.7898505,1375.00
38.4098829,-110.7898390,1375.00
38.4098829,-110.7898275,1375.00
38.4098829,-110.7898160,1375.00
38.4098829,-110.7898045,1375.00
38.4098829,-110.7897931,1375.00
38.4098829,-110.7897816,1375.00
38.4098829,-110.7897701,1375.00
38.4098829,-110.7897586,1375.00
38.4098829,-110.7897471,1375.00
38.4098829,-110.7897356,1375.00
38.4098829,-110.7897241,1375.00
38.4098919,-110.7902874,1377.00
38.4098919,-110.7902759,1377.00
38.4098919,-110.7902644,1377.00
38.4098919,-110.7902529,1377.00
38.4098919,-110.7902414,1377.00
38.4098919,-110.7902299,1377.00
38.4098919,-110.7902184,1377.00
38.4098919,-110.7902069,1377.00
38.4098919,-110.7901955,1377.00
38.4098919,-110.7901840,1377.00
38.4098919,-110.7901725,1377.00
38.4098919,-110.7901610,1377.00
38.4098919,-110.7901495,1377.00
38.4098919,-110.7901380,1377.00
38.4098919,-110.7901265,1377.00
38.4098919,-110.7901150,1377.00
38.4098919,-110.7901035,1377.00
38.4098919,-110.7900920,1377.00
38.4098919,-110.7900805,1377.00
38.4098919,-110.7900690,1377.00
38.4098919,-110.7900575,1377.00
38.4098919,-110.7900460,1377.00
38.4098919,-110.7900345,1377.00
38.4098919,-110.7900230,1377.00
38.4098919,-110.7900115,1377.00
38.4098919,-110.7900000,1375.00
38.4098919,-110.7899885,1375.00
38.4098919,-110.7899770,1375.00
38.4098919,-110.7899655,1375.00
38.4098919,-110.7899540,1375.00
38.4098919,-110.7899425,1375.00
38.4098919,-110.7899310,1375.00
38.4098919,-110.7899195,1375.00
38.4098919,-110.7899080,1375.00
38.4098919,-110.7898965,1375.00
38.4098919,-110.7898850,1375.00
38.4098919,-110.7898735,1375.00
38.4098919,-110.7898620,1375.00
38.4098919,-110.7898505,1375.00
38.4098919,-110.7898390,1375.00
38.4098919,-110.7898275,1375.00
38.4098919,-110.7898160,1375.00
38.4098919,-110.7898045,1375.00
38.4098919,-110.7897931,1375.00
38.4098919,-110.7897816,1375.00
38.4098919,-110.7897701,1375.00
38.4098919,-110.7897586,1375.00
38.4098919,-110.7897471,1375.00
38.4098919,-110.7897356,1375.00
38.4098919,-110.7897241,1375.00
38.4099009,-110.7902874,1377.00
38.4099009,-110.7902759,1377.00
38.4099009,-110.7902644,1377.00
38.4099009,-110.7902529,1377.00
38.4099009,-110.7902414,1377.00
38.4099009,-110.7902299,1377.00
38.4099009,-110.7902184,1377.00
38.4099009,-110.7902069,1377.00
38.4099009,-110.7901955,1377.00
38.4099009,-110.7901840,1377.00
38.4099009,-110.7901725,1377.00
38.4099009,-110.7901610,1377.00
38.4099009,-110.7901495,1377.00
38.4099009,-110.7901380,1377.00
38.4099009,-110.7901265,1377.00
38.4099009,-110.7901150,1377.00
38.4099009,-110.7901035,1377.00
38.4099009,-110.7900920,1377.00
38.4099009,-110.7900805,1377.00
38.4099009,-110.7900690,1377.00
38.4099009,-110.7900575,1377.00
38.4099009,-110.7900460,1377.00
38.4099009,-110.7900345,1377.00
38.4099009,-110.7900230,1377.00
38.4099009,-110.7900115,1377.00
38.4099009,-110.7900000,1375.00
38.4099009,-110.7899885,1375.00
38.4099009,-110.7899770,1375.00
38.4099009,-110.7899655,1375.00
38.4099009,-110.7899540,1375.00
38.4099009,-110.7899425,1375.00
38.4099009,-110.7899310,1375.00
38.4099009,-110.7899195,1375.00
38.4099009,-110.7899080,1375.00
38.4099009,-110.7898965,1375.00
38.4099009,-110.7898850,1375.00
38.4099009,-110.7898735,1375.00
38.4099009,-110.7898620,1375.00
38.4099009,-110.7898505,1375.00
38.4099009,-110.7898390,1375.00
38.4099009,-110.7898275,1375.00
38.4099009,-110.7898160,1375.00
38.4099009,-110.7898045,1375.00
38.4099009,-110.7897931,1375.00
38.4099009,-110.7897816,1375.00
38.4099009,-110.7897701,1375.00
38.4099009,-110.7897586,1375.00
38.4099009,-110.7897471,1375.00
38.4099009,-110.7897356,1375.00
38.4099009,-110.7897241,1375.00
38.4099099,-110.7902874,1377.00
38.4099099,-110.7902759,1377.00
38.4099099,-110.7902644,1377.00
38.4099099,-110.7902529,1377.00
38.4099099,-110.7902414,1377.00
38.4099099,-110.7902299,1377.00
38.4099099,-110.7902184,1377.00
38.4099099,-110.7902069,1377.00
38.4099099,-110.7901955,1377.00
38.4099099,-110.7901840,1377.00
38.4099099,-110.7901725,1377.00
38.4099099,-110.7901610,1377.00
38.4099099,-110.7901495,1377.00
38.4099099,-110.7901380,1377.00
38.4099099,-110.7901265,1377.00
38.4099099,-110.7901150,1377.00
38.4099099,-110.7901035,1377.00
38.4099099,-110.7900920,1377.00
38.4099099,-110.7900805,1377.00
38.4099099,-110.7900690,1377.00
38.4099099,-110.7900575,1377.00
38.4099099,-110.7900460,1377.00
38.4099099,-110.7900345,1377.00
38.4099099,-110.7900230,1377.00
38.4099099,-110.7900115,1377.00
38.4099099,-110.7900000,1375.00
