latitude,longitude,elevation_m
43.6599978,-79.3959974,112.0000000
43.6599978,-79.3959973,112.0000000
43.6599978,-79.3959971,112.0000000
43.6599978,-79.3959970,112.0000000
43.6599979,-79.3960031,112.0000000
43.6599979,-79.3960030,112.0000000
43.6599979,-79.3960029,112.0000000
43.6599979,-79.3960027,112.0000000
43.6599979,-79.3960026,112.0000000
43.6599979,-79.3960025,112.0000000
43.6599979,-79.3960024,112.0000000
43.6599979,-79.3960022,112.0000000
43.6599979,-79.3960021,112.0000000
43.6599979,-79.3960020,112.0000000
43.6599979,-79.3960019,112.0000000
43.6599979,-79.3960017,112.0000000
43.6599979,-79.3960016,112.0000000
43.6599979,-79.3960015,112.0000000
43.6599979,-79.3960014,112.0000000
43.6599979,-79.3960012,112.0000000
43.6599979,-79.3960011,112.0000000
43.6599979,-79.3960010,112.0000000
43.6599979,-79.3960009,112.0000000
43.6599979,-79.3960007,112.0000000
43.6599979,-79.3960006,112.0000000
43.6599979,-79.3960005,112.0000000
43.6599979,-79.3960004,112.0000000
43.6599979,-79.3960002,112.0000000
43.6599979,-79.3960001,112.0000000
43.6599979,-79.3960000,112.0000000
43.6599979,-79.3959999,112.0000000
43.6599979,-79.3959998,112.0000000
43.6599979,-79.3959996,112.0000000
43.6599979,-79.3959995,112.0000000
43.6599979,-79.3959994,112.0000000
43.6599979,-79.3959993,112.0000000
43.6599979,-79.3959991,112.0000000
43.6599979,-79.3959990,112.0000000
43.6599979,-79.3959989,112.0000000
43.6599979,-79.3959988,112.0000000
43.6599979,-79.3959986,112.0000000
43.6599979,-79.3959985,112.0000000
43.6599979,-79.3959984,112.0000000
43.6599979,-79.3959983,112.0000000
43.6599979,-79.3959981,112.0000000
43.6599979,-79.3959980,112.0000000
43.6599979,-79.3959979,112.0000000
43.6599979,-79.3959978,112.0000000
43.6599979,-79.3959976,112.0000000
43.6599979,-79.3959975,112.0000000
43.6599979,-79.3959974,112.0000000
43.6599979,-79.3959973,112.0000000
43.6599979,-79.3959971,112.0000000
43.6599979,-79.3959970,112.0000000
43.6599980,-79.3960031,112.0000000
43.6599980,-79.3960030,112.0000000
43.6599980,-79.3960029,112.0000000
43.6599980,-79.3960027,112.0000000
43.6599980,-79.3960026,112.0000000
43.6599980,-79.3960025,112.0000000
43.6599980,-79.3960024,112.0000000
43.6599980,-79.3960022,112.0000000
43.6599980,-79.3960021,112.0000000
43.6599980,-79.3960020,112.0000000
43.6599980,-79.3960019,112.0000000
43.6599980,-79.3960017,112.0000000
43.6599980,-79.3960016,112.0000000
43.6599980,-79.3960015,112.0000000
43.6599980,-79.3960014,112.0000000
43.6599980,-79.3960012,112.0000000
43.6599980,-79.3960011,112.0000000
43.6599980,-79.3960010,112.0000000
43.6599980,-79.3960009,112.0000000
43.6599980,-79.3960007,112.0000000
43.6599980,-79.3960006,112.0000000
43.6599980,-79.3960005,112.0000000
43.6599980,-79.3960004,112.0000000
43.6599980,-79.3960002,112.0000000
43.6599980,-79.3960001,112.0000000
43.6599980,-79.3960000,112.0000000
43.6599980,-79.3959999,112.0000000
43.6599980,-79.3959998,112.0000000
43.6599980,-79.3959996,112.0000000
43.6599980,-79.3959995,112.0000000
43.6599980,-79.3959994,112.0000000
43.6599980,-79.3959993,112.0000000
43.6599980,-79.3959991,112.0000000
43.6599980,-79.3959990,112.0000000
43.6599980,-79.3959989,112.0000000
43.6599980,-79.3959988,112.0000000
43.6599980,-79.3959986,112.0000000
43.6599980,-79.3959985,112.0000000
43.6599980,-79.3959984,112.0000000
43.6599980,-79.3959983,112.0000000
43.6599980,-79.3959981,112.0000000
43.6599980,-79.3959980,112.0000000
43.6599980,-79.3959979,112.0000000
43.6599980,-79.3959978,112.0000000
43.6599980,-79.3959976,112.0000000
43.6599980,-79.3959975,112.0000000
43.6599980,-79.3959974,112.0000000
43.6599980,-79.3959973,112.0000000
43.6599980,-79.3959971,112.0000000
43.6599980,-79.3959970,112.0000000
43.6599981,-79.3960031,112.0000000
43.6599981,-79.3960030,112.0000000
43.6599981,-79.3960029,112.0000000
43.6599981,-79.3960027,112.0000000
43.6599981,-79.3960026,112.0000000
43.6599981,-79.3960025,112.0000000
43.6599981,-79.3960024,112.0000000
43.6599981,-79.3960022,112.0000000
43.6599981,-79.3960021,112.0000000
43.6599981,-79.3960020,112.0000000
43.6599981,-79.3960019,112.0000000
43.6599981,-79.3960017,112.0000000
43.6599981,-79.3960016,112.0000000
43.6599981,-79.3960015,112.0000000
43.6599981,-79.3960014,112.0000000
43.6599981,-79.3960012,112.0000000
43.6599981,-79.3960011,112.0000000
43.6599981,-79.3960010,112.0000000
43.6599981,-79.3960009,112.0000000
43.6599981,-79.3960007,112.0000000
43.6599981,-79.3960006,112.0000000
43.6599981,-79.3960005,112.0000000
43.6599981,-79.3960004,112.0000000
43.6599981,-79.3960002,112.0000000
43.6599981,-79.3960001,112.0000000
43.6599981,-79.3960000,112.0000000
43.6599981,-79.3959999,112.0000000
43.6599981,-79.3959998,112.0000000
43.6599981,-79.3959996,112.0000000
43.6599981,-79.3959995,112.0000000
43.6599981,-79.3959994,112.0000000
43.6599981,-79.3959993,112.0000000
43.6599981,-79.3959991,112.0000000
43.6599981,-79.3959990,112.0000000
43.6599981,-79.3959989,112.0000000
43.6599981,-79.3959988,112.0000000
43.6599981,-79.3959986,112.0000000
43.6599981,-79.3959985,112.0000000
43.6599981,-79.3959984,112.0000000
43.6599981,-79.3959983,112.0000000
43.6599981,-79.3959981,112.0000000
43.6599981,-79.3959980,112.0000000
43.6599981,-79.3959979,112.0000000
43.6599981,-79.3959978,112.0000000
43.6599981,-79.3959976,112.0000000
43.6599981,-79.3959975,112.0000000
43.6599981,-79.3959974,112.0000000
43.6599981,-79.3959973,112.0000000
43.6599981,-79.3959971,112.0000000
43.6599981,-79.3959970,112.0000000
43.6599982,-79.3960031,112.0000000
43.6599982,-79.3960030,112.0000000
43.6599982,-79.3960029,112.0000000
43.6599982,-79.3960027,112.0000000
43.6599982,-79.3960026,112.0000000
43.6599982,-79.3960025,112.0000000
43.6599982,-79.3960024,112.0000000
43.6599982,-79.3960022,112.0000000
43.6599982,-79.3960021,112.0000000
43.6599982,-79.3960020,112.0000000
43.6599982,-79.3960019,112.0000000
43.6599982,-79.3960017,112.0000000
43.6599982,-79.3960016,112.0000000
43.6599982,-79.3960015,112.0000000
43.6599982,-79.3960014,112.0000000
43.6599982,-79.3960012,112.0000000
43.6599982,-79.3960011,112.0000000
43.6599982,-79.3960010,112.0000000
43.6599982,-79.3960009,112.0000000
43.6599982,-79.3960007,112.0000000
43.6599982,-79.3960006,112.0000000
43.6599982,-79.3960005,112.0000000
43.6599982,-79.3960004,112.0000000
43.6599982,-79.3960002,112.0000000
43.6599982,-79.3960001,112.0000000
43.6599982,-79.3960000,112.0000000
43.6599982,-79.3959999,112.0000000
43.6599982,-79.3959998,112.0000000
43.6599982,-79.3959996,112.0000000
43.6599982,-79.3959995,112.0000000
43.6599982,-79.3959994,112.0000000
43.6599982,-79.3959993,112.0000000
43.6599982,-79.3959991,112.0000000
43.6599982,-79.3959990,112.0000000
43.6599982,-79.3959989,112.0000000
43.6599982,-79.3959988,112.0000000
43.6599982,-79.3959986,112.0000000
43.6599982,-79.3959985,112.0000000
43.6599982,-79.3959984,112.0000000
43.6599982,-79.3959983,112.0000000
43.6599982,-79.3959981,112.0000000
43.6599982,-79.3959980,112.0000000
43.6599982,-79.3959979,112.0000000
43.6599982,-79.3959978,112.0000000
43.6599982,-79.3959976,112.0000000
43.6599982,-79.3959975,112.0000000
43.6599982,-79.3959974,112.0000000
43.6599982,-79.3959973,112.0000000
43.6599982,-79.3959971,112.0000000
43.6599982,-79.3959970,112.0000000
43.6599983,-79.3960031,112.0000000
43.6599983,-79.3960030,112.0000000
43.6599983,-79.3960029,112.0000000
43.6599983,-79.3960027,112.0000000
43.6599983,-79.3960026,112.0000000
43.6599983,-79.3960025,112.0000000
43.6599983,-79.3960024,112.0000000
43.6599983,-79.3960022,112.0000000
43.6599983,-79.3960021,112.0000000
43.6599983,-79.3960020,112.0000000
43.6599983,-79.3960019,112.0000000
43.6599983,-79.3960017,112.0000000
43.6599983,-79.3960016,112.0000000
43.6599983,-79.3960015,112.0000000
43.6599983,-79.3960014,112.0000000
43.6599983,-79.3960012,112.0000000
43.6599983,-79.3960011,112.0000000
43.6599983,-79.3960010,112.0000000
43.6599983,-79.3960009,112.0000000
43.6599983,-79.3960007,112.0000000
43.6599983,-79.3960006,112.0000000
43.6599983,-79.3960005,112.0000000
43.6599983,-79.3960004,112.0000000
43.6599983,-79.3960002,112.0000000
43.6599983,-79.3960001,112.0000000
43.6599983,-79.3960000,112.0000000
43.6599983,-79.3959999,112.0000000
43.6599983,-79.3959998,112.0000000
43.6599983,-79.3959996,112.0000000
43.6599983,-79.3959995,112.0000000
43.6599983,-79.3959994,112.0000000
43.6599983,-79.3959993,112.0000000
43.6599983,-79.3959991,112.0000000
43.6599983,-79.3959990,112.0000000
43.6599983,-79.3959989,112.0000000
43.6599983,-79.3959988,112.0000000
43.6599983,-79.3959986,112.0000000
43.6599983,-79.3959985,112.0000000
43.6599983,-79.3959984,112.0000000
43.6599983,-79.3959983,112.0000000
43.6599983,-79.3959981,112.0000000
43.6599983,-79.3959980,112.0000000
43.6599983,-79.3959979,112.0000000
43.6599983,-79.3959978,112.0000000
43.6599983,-79.3959976,112.0000000
43.6599983,-79.3959975,112.0000000
43.6599983,-79.3959974,112.0000000
43.6599983,-79.3959973,112.0000000
43.6599983,-79.3959971,112.0000000
43.6599983,-79.3959970,112.0000000
43.6599984,-79.3960031,112.0000000
43.6599984,-79.3960030,112.0000000
43.6599984,-79.3960029,112.0000000
43.6599984,-79.3960027,112.0000000
43.6599984,-79.3960026,112.0000000
43.6599984,-79.3960025,112.0000000
43.6599984,-79.3960024,112.0000000
43.6599984,-79.3960022,112.0000000
43.6599984,-79.3960021,112.0000000
43.6599984,-79.3960020,112.0000000
43.6599984,-79.3960019,112.0000000
43.6599984,-79.3960017,112.0000000
43.6599984,-79.3960016,112.0000000
43.6599984,-79.3960015,112.0000000
43.6599984,-79.3960014,112.0000000
43.6599984,-79.3960012,112.0000000
43.6599984,-79.3960011,112.0000000
43.6599984,-79.3960010,112.0000000
43.6599984,-79.3960009,112.0000000
43.6599984,-79.3960007,112.0000000
43.6599984,-79.3960006,112.0000000
43.6599984,-79.3960005,112.0000000
43.6599984,-79.3960004,112.0000000
43.6599984,-79.3960002,112.0000000
43.6599984,-79.3960001,112.0000000
43.6599984,-79.3960000,112.0000000
43.6599984,-79.3959999,112.0000000
43.6599984,-79.3959998,112.0000000
43.6599984,-79.3959996,112.0000000
43.6599984,-79.3959995,112.0000000
43.6599984,-79.3959994,112.0000000
43.6599984,-79.3959993,112.0000000
43.6599984,-79.3959991,112.0000000
43.6599984,-79.3959990,112.0000000
43.6599984,-79.3959989,112.0000000
43.6599984,-79.3959988,112.0000000
43.6599984,-79.3959986,112.0000000
43.6599984,-79.3959985,112.0000000
43.6599984,-79.3959984,112.0000000
43.6599984,-79.3959983,112.0000000
43.6599984,-79.3959981,112.0000000
43.6599984,-79.3959980,112.0000000
43.6599984,-79.3959979,112.0000000
43.6599984,-79.3959978,112.0000000
43.6599984,-79.3959976,112.0000000
43.6599984,-79.3959975,112.0000000
43.6599984,-79.3959974,112.0000000
43.6599984,-79.3959973,112.0000000
43.6599984,-79.3959971,112.0000000
43.6599984,-79.3959970,112.0000000
43.6599985,-79.3960031,112.0000000
43.6599985,-79.3960030,112.0000000
43.6599985,-79.3960029,112.0000000
43.6599985,-79.3960027,112.0000000
43.6599985,-79.3960026,112.0000000
43.6599985,-79.3960025,112.0000000
43.6599985,-79.3960024,112.0000000
43.6599985,-79.3960022,112.0000000
43.6599985,-79.3960021,112.0000000
43.6599985,-79.3960020,112.0000000
43.6599985,-79.3960019,112.0000000
43.6599985,-79.3960017,112.0000000
43.6599985,-79.3960016,112.0000000
43.6599985,-79.3960015,112.0000000
43.6599985,-79.3960014,112.0000000
43.6599985,-79.3960012,112.0000000
43.6599985,-79.3960011,112.0000000
43.6599985,-79.3960010,112.0000000
43.6599985,-79.3960009,112.0000000
43.6599985,-79.3960007,112.0000000
43.6599985,-79.3960006,112.0000000
43.6599985,-79.3960005,112.0000000
43.6599985,-79.3960004,112.0000000
43.6599985,-79.3960002,112.0000000
43.6599985,-79.3960001,112.0000000
43.6599985,-79.3960000,112.0000000
43.6599985,-79.3959999,112.0000000
43.6599985,-79.3959998,112.0000000
43.6599985,-79.3959996,112.0000000
43.6599985,-79.3959995,112.0000000
43.6599985,-79.3959994,112.0000000
43.6599985,-79.3959993,112.0000000
43.6599985,-79.3959991,112.0000000
43.6599985,-79.3959990,112.0000000
43.6599985,-79.3959989,112.0000000
43.6599985,-79.3959988,112.0000000
43.6599985,-79.3959986,112.0000000
43.6599985,-79.3959985,112.0000000
43.6599985,-79.3959984,112.0000000
43.6599985,-79.3959983,112.0000000
43.6599985,-79.3959981,112.0000000
43.6599985,-79.3959980,112.0000000
43.6599985,-79.3959979,112.0000000
43.6599985,-79.3959978,112.0000000
43.6599985,-79.3959976,112.0000000
43.6599985,-79.3959975,112.0000000
43.6599985,-79.3959974,112.0000000
43.6599985,-79.3959973,112.0000000
43.6599985,-79.3959971,112.0000000
43.6599985,-79.3959970,112.0000000
43.6599986,-79.3960031,112.0000000
43.6599986,-79.3960030,112.0000000
43.6599986,-79.3960029,112.0000000
43.6599986,-79.3960027,112.0000000
43.6599986,-79.3960026,112.0000000
43.6599986,-79.3960025,112.0000000
43.6599986,-79.3960024,112.0000000
43.6599986,-79.3960022,112.0000000
43.6599986,-79.3960021,112.0000000
43.6599986,-79.3960020,112.0000000
43.6599986,-79.3960019,112.0000000
43.6599986,-79.3960017,112.0000000
43.6599986,-79.3960016,112.0000000
43.6599986,-79.3960015,112.0000000
43.6599986,-79.3960014,112.0000000
43.6599986,-79.3960012,112.0000000
43.6599986,-79.3960011,112.0000000
43.6599986,-79.3960010,112.0000000
43.6599986,-79.3960009,112.0000000
43.6599986,-79.3960007,112.0000000
43.6599986,-79.3960006,112.0000000
43.6599986,-79.3960005,112.0000000
43.6599986,-79.3960004,112.0000000
43.6599986,-79.3960002,112.0000000
43.6599986,-79.3960001,112.0000000
43.6599986,-79.3960000,112.0000000
43.6599986,-79.3959999,112.0000000
43.6599986,-79.3959998,112.0000000
43.6599986,-79.3959996,112.0000000
43.6599986,-79.3959995,112.0000000
43.6599986,-79.3959994,112.0000000
43.6599986,-79.3959993,112.0000000
43.6599986,-79.3959991,112.0000000
43.6599986,-79.3959990,112.0000000
43.6599986,-79.3959989,112.0000000
43.6599986,-79.3959988,112.0000000
43.6599986,-79.3959986,112.0000000
43.6599986,-79.3959985,112.0000000
43.6599986,-79.3959984,112.0000000
43.6599986,-79.3959983,112.0000000
43.6599986,-79.3959981,112.0000000
43.6599986,-79.3959980,112.0000000
43.6599986,-79.3959979,112.0000000
43.6599986,-79.3959978,112.0000000
43.6599986,-79.3959976,112.0000000
43.6599986,-79.3959975,112.0000000
43.6599986,-79.3959974,112.0000000
43.6599986,-79.3959973,112.0000000
43.6599986,-79.3959971,112.0000000
43.6599986,-79.3959970,112.0000000
43.6599986,-79.3960031,112.0000000
43.6599986,-79.3960030,112.0000000
43.6599986,-79.3960029,112.0000000
43.6599986,-79.3960027,112.0000000
43.6599986,-79.3960026,112.0000000
43.6599986,-79.3960025,112.0000000
43.6599986,-79.3960024,112.0000000
43.6599986,-79.3960022,112.0000000
43.6599986,-79.3960021,112.0000000
43.6599986,-79.3960020,112.0000000
43.6599986,-79.3960019,112.0000000
43.6599986,-79.3960017,112.0000000
43.6599986,-79.3960016,112.0000000
43.6599986,-79.3960015,112.0000000
43.6599986,-79.3960014,112.0000000
43.6599986,-79.3960012,112.0000000
43.6599986,-79.3960011,112.0000000
43.6599986,-79.3960010,112.0000000
43.6599986,-79.3960009,112.0000000
43.6599986,-79.3960007,112.0000000
43.6599986,-79.3960006,112.0000000
43.6599986,-79.3960005,112.0000000
43.6599986,-79.3960004,112.0000000
43.6599986,-79.3960002,112.0000000
43.6599986,-79.3960001,112.0000000
43.6599986,-79.3960000,112.0000000
43.6599986,-79.3959999,112.0000000
43.6599986,-79.3959998,112.0000000
43.6599986,-79.3959996,112.0000000
43.6599986,-79.3959995,112.0000000
43.6599986,-79.3959994,112.0000000
43.6599986,-79.3959993,112.0000000
43.6599986,-79.3959991,112.0000000
43.6599986,-79.3959990,112.0000000
43.6599986,-79.3959989,112.0000000
43.6599986,-79.3959988,112.0000000
43.6599986,-79.3959986,112.0000000
43.6599986,-79.3959985,112.0000000
43.6599986,-79.3959984,112.0000000
43.6599986,-79.3959983,112.0000000
43.6599986,-79.3959981,112.0000000
43.6599986,-79.3959980,112.0000000
43.6599986,-79.3959979,112.0000000
43.6599986,-79.3959978,112.0000000
43.6599986,-79.3959976,112.0000000
43.6599986,-79.3959975,112.0000000
43.6599986,-79.3959974,112.0000000
43.6599986,-79.3959973,112.0000000
43.6599986,-79.3959971,112.0000000
43.6599986,-79.3959970,112.0000000
43.6599987,-79.3960031,112.0000000
43.6599987,-79.3960030,112.0000000
43.6599987,-79.3960029,112.0000000
43.6599987,-79.3960027,112.0000000
43.6599987,-79.3960026,112.0000000
43.6599987,-79.3960025,112.0000000
43.6599987,-79.3960024,112.0000000
43.6599987,-79.3960022,112.0000000
43.6599987,-79.3960021,112.0000000
43.6599987,-79.3960020,112.0000000
43.6599987,-79.3960019,112.0000000
43.6599987,-79.3960017,112.0000000
43.6599987,-79.3960016,112.0000000
43.6599987,-79.3960015,112.0000000
43.6599987,-79.3960014,112.0000000
43.6599987,-79.3960012,112.0000000
43.6599987,-79.3960011,112.0000000
43.6599987,-79.3960010,112.0000000
43.6599987,-79.3960009,112.0000000
43.6599987,-79.3960007,112.0000000
43.6599987,-79.3960006,112.0000000
43.6599987,-79.3960005,112.0000000
43.6599987,-79.3960004,112.0000000
43.6599987,-79.3960002,112.0000000
43.6599987,-79.3960001,112.0000000
43.6599987,-79.3960000,112.0000000
43.6599987,-79.3959999,112.0000000
43.6599987,-79.3959998,112.0000000
43.6599987,-79.3959996,112.0000000
43.6599987,-79.3959995,112.0000000
43.6599987,-79.3959994,112.0000000
43.6599987,-79.3959993,112.0000000
43.6599987,-79.3959991,112.0000000
43.6599987,-79.3959990,112.0000000
43.6599987,-79.3959989,112.0000000
43.6599987,-79.3959988,112.0000000
43.6599987,-79.3959986,112.0000000
43.6599987,-79.3959985,112.0000000
43.6599987,-79.3959984,112.0000000
43.6599987,-79.3959983,112.0000000
43.6599987,-79.3959981,112.0000000
43.6599987,-79.3959980,112.0000000
43.6599987,-79.3959979,112.0000000
43.6599987,-79.3959978,112.0000000
43.6599987,-79.3959976,112.0000000
43.6599987,-79.3959975,112.0000000
43.6599987,-79.3959974,112.0000000
43.6599987,-79.3959973,112.0000000
43.6599987,-79.3959971,112.0000000
43.6599987,-79.3959970,112.0000000
43.6599988,-79.3960031,112.0000000
43.6599988,-79.3960030,112.0000000
43.6599988,-79.3960029,112.0000000
43.6599988,-79.3960027,112.0000000
43.6599988,-79.3960026,112.0000000
43.6599988,-79.3960025,112.0000000
43.6599988,-79.3960024,112.0000000
43.6599988,-79.3960022,112.0000000
43.6599988,-79.3960021,112.0000000
43.6599988,-79.3960020,112.0000000
43.6599988,-79.3960019,112.0000000
43.6599988,-79.3960017,112.0000000
43.6599988,-79.3960016,112.0000000
43.6599988,-79.3960015,112.0000000
43.6599988,-79.3960014,112.0000000
43.6599988,-79.3960012,112.0000000
43.6599988,-79.3960011,112.0000000
43.6599988,-79.3960010,112.0000000
43.6599988,-79.3960009,112.0000000
43.6599988,-79.3960007,112.0000000
43.6599988,-79.3960006,112.0000000
43.6599988,-79.3960005,112.0000000
43.6599988,-79.3960004,112.0000000
43.6599988,-79.3960002,112.0000000
43.6599988,-79.3960001,112.0000000
43.6599988,-79.3960000,112.0000000
43.6599988,-79.3959999,112.0000000
43.6599988,-79.3959998,112.0000000
43.6599988,-79.3959996,112.0000000
43.6599988,-79.3959995,112.0000000
43.6599988,-79.3959994,112.0000000
43.6599988,-79.3959993,112.0000000
43.6599988,-79.3959991,112.0000000
43.6599988,-79.3959990,112.0000000
43.6599988,-79.3959989,112.0000000
43.6599988,-79.3959988,112.0000000
43.6599988,-79.3959986,112.0000000
43.6599988,-79.3959985,112.0000000
43.6599988,-79.3959984,112.0000000
43.6599988,-79.3959983,112.0000000
43.6599988,-79.3959981,112.0000000
43.6599988,-79.3959980,112.0000000
43.6599988,-79.3959979,112.0000000
43.6599988,-79.3959978,112.0000000
43.6599988,-79.3959976,112.0000000
43.6599988,-79.3959975,112.0000000
43.6599988,-79.3959974,112.0000000
43.6599988,-79.3959973,112.0000000
43.6599988,-79.3959971,112.0000000
43.6599988,-79.3959970,112.0000000
43.6599989,-79.3960031,112.0000000
43.6599989,-79.3960030,112.0000000
43.6599989,-79.3960029,112.0000000
43.6599989,-79.3960027,112.0000000
43.6599989,-79.3960026,112.0000000
43.6599989,-79.3960025,112.0000000
43.6599989,-79.3960024,112.0000000
43.6599989,-79.3960022,112.0000000
43.6599989,-79.3960021,112.0000000
43.6599989,-79.3960020,112.0000000
43.6599989,-79.3960019,112.0000000
43.6599989,-79.3960017,112.0000000
43.6599989,-79.3960016,112.0000000
43.6599989,-79.3960015,112.0000000
43.6599989,-79.3960014,112.0000000
43.6599989,-79.3960012,112.0000000
43.6599989,-79.3960011,112.0000000
43.6599989,-79.3960010,112.0000000
43.6599989,-79.3960009,112.0000000
43.6599989,-79.3960007,112.0000000
43.6599989,-79.3960006,112.0000000
43.6599989,-79.3960005,112.0000000
43.6599989,-79.3960004,112.0000000
43.6599989,-79.3960002,112.0000000
43.6599989,-79.3960001,112.0000000
43.6599989,-79.3960000,112.0000000
43.6599989,-79.3959999,112.0000000
43.6599989,-79.3959998,112.0000000
43.6599989,-79.3959996,112.0000000
43.6599989,-79.3959995,112.0000000
43.6599989,-79.3959994,112.0000000
43.6599989,-79.3959993,112.0000000
43.6599989,-79.3959991,112.0000000
43.6599989,-79.3959990,112.0000000
43.6599989,-79.3959989,112.0000000
43.6599989,-79.3959988,112.0000000
43.6599989,-79.3959986,112.0000000
43.6599989,-79.3959985,112.0000000
43.6599989,-79.3959984,112.0000000
43.6599989,-79.3959983,112.0000000
43.6599989,-79.3959981,112.0000000
43.6599989,-79.3959980,112.0000000
43.6599989,-79.3959979,112.0000000
43.6599989,-79.3959978,112.0000000
43.6599989,-79.3959976,112.0000000
43.6599989,-79.3959975,112.0000000
43.6599989,-79.3959974,112.0000000
43.6599989,-79.3959973,112.0000000
43.6599989,-79.3959971,112.0000000
43.6599989,-79.3959970,112.0000000
43.6599990,-79.3960031,112.0000000
43.6599990,-79.3960030,112.0000000
43.6599990,-79.3960029,112.0000000
43.6599990,-79.3960027,112.0000000
43.6599990,-79.3960026,112.0000000
43.6599990,-79.3960025,112.0000000
43.6599990,-79.3960024,112.0000000
43.6599990,-79.3960022,112.0000000
43.6599990,-79.3960021,112.0000000
43.6599990,-79.3960020,112.0000000
43.6599990,-79.3960019,112.0000000
43.6599990,-79.3960017,112.0000000
43.6599990,-79.3960016,112.0000000
43.6599990,-79.3960015,112.0000000
43.6599990,-79.3960014,112.0000000
43.6599990,-79.3960012,112.0000000
43.6599990,-79.3960011,112.0000000
43.6599990,-79.3960010,112.0000000
43.6599990,-79.3960009,112.0000000
43.6599990,-79.3960007,112.0000000
43.6599990,-79.3960006,112.0000000
43.6599990,-79.3960005,112.0000000
43.6599990,-79.3960004,112.0000000
43.6599990,-79.3960002,112.0000000
43.6599990,-79.3960001,112.0000000
43.6599990,-79.3960000,112.0000000
43.6599990,-79.3959999,112.0000000
43.6599990,-79.3959998,112.0000000
43.6599990,-79.3959996,112.0000000
43.6599990,-79.3959995,112.0000000
43.6599990,-79.3959994,112.0000000
43.6599990,-79.3959993,112.0000000
43.6599990,-79.3959991,112.0000000
43.6599990,-79.3959990,112.0000000
43.6599990,-79.3959989,112.0000000
